dt,Date,time,instrument,individual,canopy,period,condition,gsw_m,gsw_sd,gbw_m,gtw,E_apparent_m,VPcham_m,VPref_m,VPleaf_m,VPDleaf_m,Fs_m,Fm'_m,Fm'_sd,rh_s_m,rh_r_m,Tleaf_m,flow_m,flow_s_m
2026-06-30T15:00:00Z,2026-06-30,08:00:00,PSA-00618,2,Upper,morning,predrought,-0.17125233333333334,0.03410449079422436,2.9197243333333334,-0.182241,-0.8205523333333333,3.282786333333333,3.302483,3.668296,0.3855093333333333,112.76781733333333,487.11034133333334,37.017704777748904,93.29666666666667,93.85666666666667,27.419999999999998,156.46666666666667,155.1
2026-07-01T15:00:00Z,2026-07-01,08:00:00,PSA-00618,2,Upper,morning,drought,0.014065666666666667,0.009204461327711326,2.92038,0.013979,0.12248533333333333,2.609961333333333,2.6069993333333334,3.3610736666666665,0.7511123333333334,103.102206,487.951599,10.05536173903873,78.53666666666666,78.45,25.936666666666667,156.53333333333333,155.13333333333333
2026-07-02T15:00:00Z,2026-07-02,08:00:00,PSA-00618,2,Upper,morning,drought,0.014427666666666667,0.016212709222499903,2.9195143333333333,0.014297333333333332,0.12618666666666667,2.800917,2.7978636666666667,3.5830743333333333,0.7821576666666666,105.176211,485.08521533333334,14.914742270529693,82.34666666666666,82.25666666666666,27.02,156.43333333333334,155.1
2026-07-03T15:00:00Z,2026-07-03,08:00:00,PSA-00618,2,Upper,morning,drought,-8.620000000000007e-4,0.015272776204737631,2.9201646666666665,-9.159999999999998e-4,-0.0017956666666666652,2.604533,2.6045776666666667,3.2322736666666665,0.62774,104.69698833333334,469.304057,31.789041891605184,87.94,87.94333333333333,25.27,156.53333333333333,155.56666666666666
2026-07-07T15:00:00Z,2026-07-07,08:00:00,PSA-00618,2,Upper,morning,drought,-0.007511333333333333,0.005931042432265456,1.9626670000000002,-0.0075520000000000006,-0.06568066666666666,3.1452173333333335,3.148197666666667,3.890168,0.7449503333333333,185.62710033333335,623.544637,16.8031393124853,88.57333333333334,88.65666666666667,28.426666666666666,83.10000000000001,82.56666666666666
2026-07-08T15:00:00Z,2026-07-08,08:00:00,PSA-00618,2,Upper,morning,drought,-0.0038316666666666664,0.008241247013245832,2.4152063333333333,-0.0038566666666666667,-0.029396000000000002,3.352469333333333,3.3534666666666664,3.9756856666666667,0.6232163333333334,222.42666133333333,653.3132526666667,63.54507951402563,88.27333333333334,88.29333333333334,28.803333333333335,111.23333333333333,110.33333333333334
2026-07-09T15:00:00Z,2026-07-09,08:00:00,PSA-00618,2,Upper,morning,drought,0.006895333333333333,0.009678193133707,2.5273933333333334,0.006852,0.054055,3.3066003333333334,3.304898,3.954911666666667,0.6483113333333334,99.52402,465.144877,24.931993922295575,88.14,88.09666666666666,28.71,119.43333333333334,119
2026-07-13T15:00:00Z,2026-07-13,08:00:00,PSA-00618,2,Upper,morning,drought,0.023394,0.0053422396988529065,2.7251743333333334,0.02318766666666667,0.15694233333333332,2.9515256666666665,2.94715,3.529383666666667,0.577858,216.97605133333334,618.4910276666667,63.40621902241322,82.59,82.47,26.76,135.93333333333334,135.13333333333333
2026-07-14T15:00:00Z,2026-07-14,08:00:00,PSA-00618,2,Upper,morning,drought,-0.012811333333333333,0.016000021385402373,2.703094,-0.012936666666666666,-0.08111166666666667,3.1017930000000002,3.104088,3.6417683333333333,0.5399753333333334,107.076406,482.615743,32.90603867017986,85.77333333333333,85.83666666666667,27.293333333333333,133.93333333333334,133.26666666666668
2026-07-15T15:00:00Z,2026-07-15,08:00:00,PSA-00618,2,Upper,morning,drought,-0.009485,0.006331172719172966,2.7558903333333333,-0.009527333333333332,-0.05961866666666667,2.7886023333333334,2.790229666666667,3.3216463333333333,0.5330443333333333,117.94328566666667,485.17850733333336,9.75502029200896,86.39333333333333,86.44333333333333,25.736666666666668,138.83333333333334,138.6
2026-07-16T15:00:00Z,2026-07-16,08:00:00,PSA-00618,2,Upper,morning,recovery,0.31470566666666666,0.3034625939293562,2.532404666666667,0.26321466666666665,1.1394596666666668,3.321814,3.285747,3.719015666666667,0.397202,141.29161833333333,475.10379033333334,23.117338551443243,87.60333333333334,86.65333333333334,27.653333333333332,119.8,119.23333333333333
2026-06-24T13:00:00Z,2026-06-24,06:00:00,PSA-00618,3,Lower,early,predrought,-0.055141,0.02974006289502428,2.919709666666667,-0.05641733333333333,-0.3706196666666667,3.0555356666666666,3.064493,3.612744666666667,0.5572093333333333,114.48502633333334,495.23461933333334,19.43720994047988,88.72,88.98,27.156666666666666,156.46666666666667,155.1
2026-06-30T13:00:00Z,2026-06-30,06:00:00,PSA-00618,3,Lower,early,predrought,-0.14336200000000002,0.03011022884336817,2.919678333333333,-0.15100666666666668,-0.8898566666666666,2.988767333333333,3.0101896666666668,3.4917096666666665,0.5029426666666666,123.26442966666666,511.407481,20.116191989374922,85.96000000000001,86.57333333333334,26.580000000000002,156.46666666666667,155.23333333333335
2026-07-01T13:00:00Z,2026-07-01,06:00:00,PSA-00618,3,Lower,early,drought,0.022895666666666665,0.013389422740855311,2.918971,0.022677666666666665,0.22567733333333334,2.3281300000000003,2.3226513333333334,3.1791183333333333,0.8509883333333333,98.86920433333333,500.97897333333333,4.315155862462577,70.30333333333333,70.13666666666667,24.996666666666666,156.36666666666667,155.26666666666668
2026-07-02T13:00:00Z,2026-07-02,06:00:00,PSA-00618,3,Lower,early,drought,-0.010137333333333333,0.019052154375118143,2.9189943333333335,-0.010256666666666666,-0.12029733333333334,2.5665306666666665,2.569446,3.6093830000000002,1.0428523333333333,169.22962966666668,530.399312,52.103686282298575,70.01666666666667,70.09333333333333,27.143333333333334,156.4,155.03333333333333
2026-07-03T13:00:00Z,2026-07-03,06:00:00,PSA-00618,3,Lower,early,drought,-0.006722333333333334,0.006178938608962977,2.919757333333333,-0.0067466666666666664,-0.06363366666666667,2.1376500000000003,2.1392023333333334,2.949532666666667,0.811883,116.848587,520.7237036666667,15.430778779995569,71.67,71.72,23.746666666666666,156.46666666666667,155.4
2026-07-07T13:00:00Z,2026-07-07,06:00:00,PSA-00618,3,Lower,early,drought,-0.004135333333333334,0.026500861501719774,1.5336286666666668,-0.004454333333333334,-0.03145566666666666,3.1288446666666667,3.1309183333333332,3.7146576666666666,0.5858126666666666,140.89799,525.364146,40.85381973863162,84.22,84.28,27.633333333333333,61.1,60.7
2026-07-08T13:00:00Z,2026-07-08,06:00:00,PSA-00618,3,Lower,early,drought,-0.020726333333333333,0.007940936111903515,2.3964016666666668,-0.020925666666666665,-0.16898133333333334,3.069474,3.0752973333333333,3.7596676666666666,0.6901936666666666,147.56285866666667,520.4252013333333,32.4511760348784,81.27333333333333,81.42666666666666,27.84,109.86666666666666,109.43333333333334
2026-07-09T13:00:00Z,2026-07-09,06:00:00,PSA-00618,3,Lower,early,drought,0.04064266666666667,0.009611366257371181,2.1197043333333334,0.03985233333333334,0.30790566666666663,3.078191,3.065611666666667,3.7330176666666666,0.654826,104.80177333333333,484.445811,6.075463406256424,82.12333333333333,81.78999999999999,27.72,92.13333333333334,91.36666666666666
2026-07-13T13:00:00Z,2026-07-13,06:00:00,PSA-00618,3,Lower,early,drought,-0.03417033333333333,0.017091568983956192,2.4804193333333333,-0.03473066666666667,-0.23317933333333332,3.053622,3.0612463333333335,3.6277656666666664,0.5741433333333333,137.02595533333334,503.2374876666667,18.33304059526098,81.92333333333333,82.13,27.23,115.9,115.33333333333333
2026-07-14T13:00:00Z,2026-07-14,06:00:00,PSA-00618,3,Lower,early,drought,-0.027008666666666667,0.02308497644212212,2.433554,-0.027463,-0.1960893333333333,3.2390206666666668,3.2456193333333334,3.8474576666666667,0.6084366666666666,151.09061666666668,500.3310446666667,12.213474212575946,81.75666666666666,81.92666666666666,28.24,112.5,112
2026-07-15T13:00:00Z,2026-07-15,06:00:00,PSA-00618,3,Lower,early,drought,-0.05461133333333333,0.031136779382802793,2.3157656666666666,-0.056231666666666666,-0.39777133333333337,3.267415666666667,3.2817903333333334,3.8576456666666665,0.5902303333333333,111.511589,492.61246766666665,25.17977460809959,82.78,83.14666666666666,28.28,104.43333333333334,103.53333333333333
2026-07-16T13:00:00Z,2026-07-16,06:00:00,PSA-00618,3,Lower,early,recovery,0.3544376666666667,0.08213580136781605,2.4065433333333335,0.307626,1.2205383333333333,3.3157696666666667,3.274249,3.6583116666666666,0.34254233333333334,160.67862200000002,491.11711633333334,38.577561764078375,86.53,85.45,27.373333333333335,110.6,110.06666666666666
